INDICATOR,ORG_TYPE,ORG_CODE,ONS_CODE,NAME,ACH_DATE,MEASURE,VALUE,DQ
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Aug-22,DEMENTIA_ESTIMATE_65_PLUS,651432.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Aug-22,DIAG_RATE_65_PLUS,62.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Aug-22,DIAG_RATE_65_PLUS_LL,56.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Aug-22,DIAG_RATE_65_PLUS_UL,67.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Sep-22,DEMENTIA_REGISTER_65_PLUS,409688.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Sep-22,DEMENTIA_ESTIMATE_65_PLUS,653657.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Sep-22,DIAG_RATE_65_PLUS,62.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Sep-22,DIAG_RATE_65_PLUS_LL,56.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Sep-22,DIAG_RATE_65_PLUS_UL,68.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Oct-22,DEMENTIA_REGISTER_65_PLUS,413350.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Oct-22,DEMENTIA_ESTIMATE_65_PLUS,660666.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Oct-22,DIAG_RATE_65_PLUS,62.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Oct-22,DIAG_RATE_65_PLUS_LL,56.4,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Oct-22,DIAG_RATE_65_PLUS_UL,67.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Nov-22,DEMENTIA_REGISTER_65_PLUS,422681.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Nov-22,DEMENTIA_ESTIMATE_65_PLUS,672262.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Nov-22,DIAG_RATE_65_PLUS,62.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Nov-22,DIAG_RATE_65_PLUS_LL,56.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Nov-22,DIAG_RATE_65_PLUS_UL,68.1,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Dec-22,DEMENTIA_REGISTER_65_PLUS,420377.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Dec-22,DEMENTIA_ESTIMATE_65_PLUS,672825.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Dec-22,DIAG_RATE_65_PLUS,62.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Dec-22,DIAG_RATE_65_PLUS_LL,56.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Dec-22,DIAG_RATE_65_PLUS_UL,67.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Jan-23,DEMENTIA_REGISTER_65_PLUS,417797.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Jan-23,DEMENTIA_ESTIMATE_65_PLUS,675541.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Jan-23,DIAG_RATE_65_PLUS,61.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Jan-23,DIAG_RATE_65_PLUS_LL,55.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Jan-23,DIAG_RATE_65_PLUS_UL,67.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,28-Feb-23,DEMENTIA_REGISTER_65_PLUS,424082.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,28-Feb-23,DEMENTIA_ESTIMATE_65_PLUS,683928.1,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,28-Feb-23,DIAG_RATE_65_PLUS,62.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,28-Feb-23,DIAG_RATE_65_PLUS_LL,55.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,28-Feb-23,DIAG_RATE_65_PLUS_UL,67.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,30-Apr-22,DEMENTIA_REGISTER_65_PLUS,14468.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,30-Apr-22,DEMENTIA_ESTIMATE_65_PLUS,21060.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,30-Apr-22,DIAG_RATE_65_PLUS,68.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,30-Apr-22,DIAG_RATE_65_PLUS_LL,61.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,30-Apr-22,DIAG_RATE_65_PLUS_UL,74.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,31-May-22,DEMENTIA_REGISTER_65_PLUS,14966.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,31-May-22,DEMENTIA_ESTIMATE_65_PLUS,21705.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,31-May-22,DIAG_RATE_65_PLUS,69.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,31-May-22,DIAG_RATE_65_PLUS_LL,62.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,31-May-22,DIAG_RATE_65_PLUS_UL,74.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,30-Jun-22,DEMENTIA_REGISTER_65_PLUS,15093.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,30-Jun-22,DEMENTIA_ESTIMATE_65_PLUS,21870.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,30-Jun-22,DIAG_RATE_65_PLUS,69.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,30-Jun-22,DIAG_RATE_65_PLUS_LL,62.1,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,30-Jun-22,DIAG_RATE_65_PLUS_UL,74.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Jul-22,DEMENTIA_REGISTER_65_PLUS,15158.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Jul-22,DEMENTIA_ESTIMATE_65_PLUS,21966.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Jul-22,DIAG_RATE_65_PLUS,69.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Jul-22,DIAG_RATE_65_PLUS_LL,62.1,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Jul-22,DIAG_RATE_65_PLUS_UL,74.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Aug-22,DEMENTIA_REGISTER_65_PLUS,15245.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Aug-22,DEMENTIA_ESTIMATE_65_PLUS,22055.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Aug-22,DIAG_RATE_65_PLUS,69.1,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Aug-22,DIAG_RATE_65_PLUS_LL,62.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Aug-22,DIAG_RATE_65_PLUS_UL,75.1,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,30-Sep-22,DEMENTIA_REGISTER_65_PLUS,15296.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,30-Sep-22,DEMENTIA_ESTIMATE_65_PLUS,22098.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,30-Sep-22,DIAG_RATE_65_PLUS,69.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,30-Sep-22,DIAG_RATE_65_PLUS_LL,62.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,30-Sep-22,DIAG_RATE_65_PLUS_UL,75.1,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Oct-22,DEMENTIA_REGISTER_65_PLUS,15338.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Oct-22,DEMENTIA_ESTIMATE_65_PLUS,22131.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Oct-22,DIAG_RATE_65_PLUS,69.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Oct-22,DIAG_RATE_65_PLUS_LL,62.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Oct-22,DIAG_RATE_65_PLUS_UL,75.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,30-Nov-22,DEMENTIA_REGISTER_65_PLUS,15555.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,30-Nov-22,DEMENTIA_ESTIMATE_65_PLUS,22417.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,30-Nov-22,DIAG_RATE_65_PLUS,69.4,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,30-Nov-22,DIAG_RATE_65_PLUS_LL,62.4,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,30-Nov-22,DIAG_RATE_65_PLUS_UL,75.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Dec-22,DEMENTIA_REGISTER_65_PLUS,15501.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Dec-22,DEMENTIA_ESTIMATE_65_PLUS,22491.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Dec-22,DIAG_RATE_65_PLUS,68.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Dec-22,DIAG_RATE_65_PLUS_LL,62.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Dec-22,DIAG_RATE_65_PLUS_UL,74.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Jan-23,DEMENTIA_REGISTER_65_PLUS,15463.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Jan-23,DEMENTIA_ESTIMATE_65_PLUS,22691.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Jan-23,DIAG_RATE_65_PLUS,68.1,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Jan-23,DIAG_RATE_65_PLUS_LL,61.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,31-Jan-23,DIAG_RATE_65_PLUS_UL,74.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,28-Feb-23,DEMENTIA_REGISTER_65_PLUS,15477.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,28-Feb-23,DEMENTIA_ESTIMATE_65_PLUS,22713.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,28-Feb-23,DIAG_RATE_65_PLUS,68.1,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,28-Feb-23,DIAG_RATE_65_PLUS_LL,61.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QE1,E54000048,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,28-Feb-23,DIAG_RATE_65_PLUS_UL,73.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,30-Apr-22,DEMENTIA_REGISTER_65_PLUS,11431.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,30-Apr-22,DEMENTIA_ESTIMATE_65_PLUS,16006.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,30-Apr-22,DIAG_RATE_65_PLUS,71.4,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,30-Apr-22,DIAG_RATE_65_PLUS_LL,64.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,30-Apr-22,DIAG_RATE_65_PLUS_UL,77.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,31-May-22,DEMENTIA_REGISTER_65_PLUS,11609.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,31-May-22,DEMENTIA_ESTIMATE_65_PLUS,16303.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,31-May-22,DIAG_RATE_65_PLUS,71.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,31-May-22,DIAG_RATE_65_PLUS_LL,64.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,31-May-22,DIAG_RATE_65_PLUS_UL,77.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,30-Jun-22,DEMENTIA_REGISTER_65_PLUS,11708.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,30-Jun-22,DEMENTIA_ESTIMATE_65_PLUS,16520.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,30-Jun-22,DIAG_RATE_65_PLUS,70.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,30-Jun-22,DIAG_RATE_65_PLUS_LL,63.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000009,SOUTH YORKSHIRE AND BASSETLAW,30-Jun-22,DIAG_RATE_65_PLUS_UL,77.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000061,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,31-Jul-22,DEMENTIA_REGISTER_65_PLUS,10553.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000061,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,31-Jul-22,DEMENTIA_ESTIMATE_65_PLUS,14911.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000061,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,31-Jul-22,DIAG_RATE_65_PLUS,70.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000061,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,31-Jul-22,DIAG_RATE_65_PLUS_LL,63.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000061,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,31-Jul-22,DIAG_RATE_65_PLUS_UL,76.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QF7,E54000061,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,31-Aug-22,DEMENTIA_REGISTER_65_PLUS,10644.0,
